fecha_ingreso,Frequency.64
2014-03-10,81
2014-05-19,64
2013-04-15,64
2016-02-02,63
2010-02-15,63
2014-10-14,63
2014-03-25,63
2013-11-04,62
2012-05-17,62
2015-01-26,62
2016-02-25,62
2014-10-21,60
2013-12-10,60
2015-11-09,60
2016-04-27,59
2015-09-22,59
2014-05-28,59
2011-11-09,59
2014-12-03,59
2016-11-14,59
2014-04-02,59
2010-05-17,58
2014-04-14,58
2015-10-01,58
2014-02-05,58
2014-10-28,58
2012-11-19,58
2014-10-20,58
2012-03-06,58
2014-05-13,58
2013-06-17,58
2014-06-03,58
2011-03-07,58
2016-02-24,58
2014-12-15,58
2009-01-26,57
2014-10-16,57
2013-02-25,57
2015-04-20,57
2014-02-24,57
2015-06-02,56
2016-10-24,56
2016-10-17,56
2009-05-19,56
2011-06-13,56
2011-12-19,56
2009-11-18,56
2015-02-16,56
2013-11-26,56
2016-01-18,56
2012-10-30,56
2015-01-12,56
2012-01-25,56
2015-11-30,56
2014-12-16,56
2016-11-08,55
2014-01-14,55
2016-11-03,55
2013-11-06,55
2012-12-03,55
2013-05-13,55
2012-06-12,55
2016-10-26,55
2013-10-22,55
2013-05-27,55
2013-02-26,55
2016-03-14,55
2015-01-13,55
2012-11-07,55
2015-06-29,55
2016-03-02,55
2011-04-13,54
2014-04-07,54
2014-04-09,54
2012-06-19,54
2015-02-23,54
2013-10-21,54
2014-10-15,54
2015-10-07,54
2010-02-01,54
2013-11-27,54
2012-05-23,54
2016-10-05,54
2012-03-12,54
2013-01-08,54
2014-05-15,54
2010-10-18,54
2011-11-14,54
2015-01-14,54
2011-11-23,54
2012-02-22,54
2016-11-29,54
2011-02-14,54
2011-05-04,54
2013-01-29,54
2015-03-23,54
2015-01-07,54
2015-11-25,54
2015-02-04,53
2009-01-12,53
