peso_grd,Frequency.10
1.04,1436
0.69,1134
2.22,1112
0.59,1045
1.3,772
0.88,657
4.16,587
1.41,570
1.1,562
1.67,539
1.06,488
1.18,485
3.3,483
1.02,446
0.68,421
0.73,420
1.01,414
2.77,391
1.19,337
0.82,331
1.03,292
1.08,290
0.85,287
1.68,284
1.81,276
1.09,276
0.71,272
1.91,259
3.06,249
0.99,245
1.0,245
0.93,244
0.87,242
1.74,238
0.98,234
2.05,231
3.85,231
0.81,229
1.4,223
0.96,219
3.15,211
2.9,203
0.91,194
1.53,192
0.74,190
6.46,188
1.38,188
1.11,183
1.32,182
0.54,177
3.51,164
0.61,158
0.58,158
0.92,158
0.29,152
1.86,147
0.72,144
1.31,140
2.08,140
0.79,139
3.46,137
1.49,137
1.16,136
5.67,135
2.93,130
1.43,130
3.04,129
2.88,126
1.12,125
1.2,123
0.77,123
1.23,117
1.65,117
1.82,117
2.75,114
1.63,112
1.21,109
0.94,107
2.72,106
2.1,98
2.86,95
5.91,95
0.89,92
0.97,92
1.77,90
1.07,90
0.65,88
6.23,88
1.61,87
0.64,84
1.25,84
0.76,84
1.22,81
4.65,81
0.56,77
43.47,76
2.16,75
1.75,74
3.07,74
