fecha,Frequency.2
2016-03-23,528
2016-01-29,469
2016-02-05,466
2016-12-23,466
2016-01-15,464
2016-05-06,455
2016-02-12,454
2016-10-07,452
2016-02-26,451
2016-03-11,449
2016-04-15,448
2016-02-19,438
2016-04-29,432
2016-12-02,432
2016-03-17,431
2016-10-28,427
2016-10-21,426
2016-01-21,422
2016-06-03,421
2016-05-13,418
2016-04-08,417
2016-06-10,417
2016-05-27,417
2016-11-11,415
2016-11-25,413
2016-04-01,412
2016-03-03,409
2016-07-01,408
2016-05-20,407
2016-02-04,406
2016-03-22,406
2016-03-04,404
2016-12-22,403
2016-12-16,402
2016-01-08,400
2016-07-08,397
2016-04-06,396
2016-11-18,396
2016-06-30,395
2016-06-24,391
2016-02-18,389
2016-02-25,388
2016-02-16,387
2016-04-22,386
2016-01-22,386
2016-07-15,385
2016-11-04,384
2016-01-14,383
2016-10-11,381
2016-03-15,381
2016-06-22,381
2016-04-28,379
2016-06-17,379
2016-05-17,379
2016-04-14,378
2016-06-09,376
2016-03-02,376
2016-04-13,375
2016-02-11,374
2016-12-21,372
2016-03-09,372
2016-01-27,370
2016-04-12,370
2016-04-19,369
2016-03-30,369
2016-11-30,369
2016-11-17,369
2016-02-02,367
2016-01-20,367
2016-05-11,366
2016-10-14,366
2016-04-20,366
2016-03-18,366
2016-05-12,365
2016-01-28,364
2016-03-10,363
2016-10-26,362
2016-02-17,362
2016-01-13,361
2016-03-14,360
2016-09-16,360
2016-05-19,360
2016-03-01,360
2016-04-27,359
2016-09-30,359
2016-03-16,359
2016-03-31,359
2016-02-24,359
2016-07-22,357
2016-11-24,357
2016-05-31,357
2016-02-10,356
2016-01-26,355
2016-02-03,354
2016-06-02,354
2016-05-26,354
2016-06-07,353
2016-12-05,353
2016-01-19,352
2016-11-16,352
