fecha_fin,Frequency.3
2012-04-11,986
2014-02-08,662
2012-04-15,486
2012-04-20,384
2015-06-06,357
2012-04-12,356
2013-06-21,339
2013-07-31,309
2012-04-21,279
2012-04-22,275
2013-06-18,246
2015-04-04,226
2012-04-16,202
2014-05-03,187
2015-05-02,180
2014-06-07,173
2015-02-07,168
2014-04-05,166
2016-05-07,164
2014-03-08,158
2012-04-17,145
2015-03-07,142
2012-04-24,128
2016-02-06,126
2017-01-07,124
2016-03-05,124
2016-04-02,122
2015-01-03,118
2013-06-09,117
2016-06-04,113
2015-12-05,102
2015-08-08,102
2016-08-06,101
2014-07-05,98
2014-08-02,97
2014-09-06,97
2012-04-23,97
2016-01-02,96
2013-08-01,95
2015-11-07,95
2014-12-06,93
2017-03-04,91
2013-08-03,90
2017-02-04,90
2014-11-08,89
2015-07-04,88
2013-07-23,85
2016-07-02,83
2016-12-03,83
2013-05-24,76
2013-06-11,75
2014-10-04,72
2015-10-03,68
2016-09-03,60
2016-10-08,59
2015-09-05,55
2016-11-05,53
2013-08-23,53
2013-10-01,51
2013-08-07,43
2013-09-17,40
2013-09-07,40
2013-09-19,38
2013-08-27,36
2014-01-04,35
2013-09-25,35
2014-04-04,33
2013-09-13,33
2016-05-06,31
2014-03-13,31
2016-04-26,30
2016-10-07,30
2016-06-03,30
2016-02-05,29
2017-03-03,29
2013-07-06,29
2013-11-02,28
2016-07-01,28
2016-12-02,28
2011-10-18,27
2016-10-27,27
2013-09-10,27
2016-09-02,27
2017-02-03,27
2013-10-05,27
2016-10-26,26
2011-06-13,26
2013-08-24,26
2014-11-07,26
2017-03-07,26
2014-03-05,26
2016-05-16,26
2015-06-01,25
2012-06-28,25
2014-10-30,25
2016-04-05,25
2016-09-19,25
2013-05-23,25
2016-08-05,25
